"cdentite";"lbstationhydro";"typestation";"dtmiseservice";"dtfermeture";"longitude";"latitude"
V332401001;Le Dolon à Revel-Tourdan;STD;1987-10-07 00:00:00;1995-11-30 00:00:00;5.024566552011107;45.382865084192424
V333501001;La Sanne à Saint-Romain-de-Surieu;STD;1998-10-27 00:00:00;;4.885991395306983;45.384491026451364
V340431001;La Raille [Rival] à Brézins;STD;1976-01-05 00:00:00;;5.315852318278896;45.34806168614539
V340501001;Le ruisseau de Saint-Michel à Saint-Geoirs;STD;1970-04-29 00:00:00;1976-09-28 00:00:00;5.340102547321107;45.31955931953864
V342431001;La Raille [Rival] à Beaufort;STD;1978-11-17 00:00:00;;5.118842237063354;45.33573170578374
V342561001;Le Suzon à Saint-Barthélemy;STD;1987-03-17 00:00:00;1992-10-13 00:00:00;5.08378048926301;45.34449675320917
V343401001;L'Oron [Collières] à Saint-Rambert-d'Albon;STD;1981-12-23 00:00:00;;4.817472235630407;45.2993020108039
V344000101;Le Rhône à Saint-Rambert-d'Albon;STD;2023-01-12 00:00:00;;4.812973011403263;45.277088657609056
V344000102;Le Rhône à Saint-Rambert-d'Albon;DEB;2023-01-12 00:00:00;;4.812973011403263;45.277088657609056
V350401001;La Cance à Annonay;STD;1968-01-01 00:00:00;2023-01-10 10:00:00;4.671912207982692;45.235942922730295
V350401201;La Cance à Annonay [Galléliaure];STD;2020-11-05 00:00:00;;4.635336950056944;45.23507178484594
V351501001;La Deume à Saint-Julien-Molin-Molette [La Garinière];STD;1994-04-14 00:00:00;2023-01-10 12:00:00;4.619001493989213;45.291777010349456
V351561001;L'Argental à Bourg-Argental;STD;1977-12-26 00:00:00;1996-01-04 00:00:00;4.548308613730383;45.29158007046606
V351701001;Le Ternay à Savas [Ternay];STD;1993-12-21 00:00:00;;4.636551426322105;45.30977741272879
V351701301;La Deume à Saint-Marcel-lès-Annonay;STD;2020-11-04 00:00:00;;4.601079314984347;45.28977879467616
V351701401;La Deume à Annonay - échelle de crue - Pont de Faya;STD;1948-01-01 00:00:00;1964-01-01 00:00:00;4.669232783812098;45.24319247596588
V352401001;La Cance à Sarras;STD;1964-12-31 00:00:00;;4.786558451491202;45.20603227077425
V353000101;L'Ay à Ardoix [Pont de Rau];STD;2014-02-19 00:00:00;;4.769828560902787;45.191519051267505
V353000301;L'Ay à Satillieu - La Bergère;DEB;2014-07-09 12:00:00;;4.620636092036196;45.152221653275234
V353000302;L'Ay à Satillieu - La Bergère;STD;2014-04-01 00:00:00;;4.620642748891086;45.15221330948259
